,Tweets
2667,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2668,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2669,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2670,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2671,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2672,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2673,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
2674,RT @CinemaPoint1: BEST VFX? #VikrantRona and #Brahmastra https://t.co/XIU6xpKPZy
2675,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2676,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
2677,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
2678,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
2679,"Answer the question below. Enhance, refine, and accelerate your learning with ""UPSC Practice"".

🪔 Get the ""UPSC Practice"" Mobile App https://t.co/4TB0E34t6a Gaa
#Maths #Permutation

🇮🇳 https://t.co/9vLIhL5l7d #Brahmastra #Queen #Elizabeth #ViratKohli

https://t.co/0e7WgtlvJa https://t.co/75CbnqCJSJ"
2680,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
2681,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2682,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2683,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
2684,"RT @KreatelyMedia: 🚨 Facts

🔸In Mar 2021, AK quit Twitter
🔸Today KJo quit Twitter
🔸SAK is not even on Twitter

So after the Blockbuster hit…"
2685,"RT @VijayIsMyLife: #PonniyinSelvan1 emerges as the highest grossing Indian film at the UK box office for the year 2022. 🔥

1. #PS1 - £1.17M…"
2686,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2687,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2688,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2689,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2690,"RT @go4ashi: It has been reported that After the epic flop of #Brahmastra movie, @karanjohar decided to step down as Producer and decided t…"
2691,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
2692,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2693,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2694,It would be great to have the M4-47.🙉🙉🙉🙉🙉 #codm #CODMIndia #Rushandshow #Brahmastra https://t.co/9EHmAUxKFx
2695,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2696,"Highest Second Weekend Grossers of 2022 (Bollywood)

1)#TheKashmirFiles: ₹ 70.15 Cr
2)#Brahmastra: ₹ 42.03 Cr
3)#BhoolBhulaiyaa2: ₹ 30.64 Cr
4)#GangubaiKathiawadi: ₹ 23.29 Cr
5)#JugJuggJeeyo: ₹ 13.88 Cr
6)#VikramVedha: ₹ 10.43 Cr https://t.co/zKRfxyZpMW"
2697,"RT @go4ashi: It has been reported that After the epic flop of #Brahmastra movie, @karanjohar decided to step down as Producer and decided t…"
2698,"Hay ! Do you want to create your cute image into cartoon portrait ? Just visit here https://t.co/hLB8QcBK4g                  

#jennie #Lisa #Pakistan #iPhone14 #Brahmastra #Xbox #WorldCup2022 #meditation #ChengYi #RahulVaidya #Jesus #Australia #Italy #XiaoZhan #PlayToEarn #Messi https://t.co/xSbv79MMyW https://t.co/CKsxU4Csv5"
2699,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
2700,"RT @FilmyFocus: #Babai &amp; #Abbayi❤️

King #Nagarjuna and Young Tiger #JrNTR  Arrives in Style for #Brahmastra's Press Conferencein Hyderabad…"
2701,"𝐒𝐞𝐞𝐧 𝐨𝐫 𝐔𝐧𝐬𝐞𝐞𝐧?
#ArtStationAqibZaman 
#KingKHAN 👑 #SRK 
#ShahRukhKhan
#KingOfBollywood 🎥 @iamsrk 
#ShahRukhKhan𓀠 #SRK𓃵
#KingOfIndianCinema 🎞 ⭐️
🤩 Watch #SRKCameos in #RocketryTheNambiEffect #LaalSinghChaddah &amp; #Brahmastra  💥 https://t.co/X6fI8IN4VG"
2702,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
2703,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2704,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
2705,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2706,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2707,"RT @go4ashi: It has been reported that After the epic flop of #Brahmastra movie, @karanjohar decided to step down as Producer and decided t…"
2708,"RT @MeRamSinghJain: @GemsOfBollywood As per the current assessment, Sanjeev Takla would need to be sent to Agra Pagalkhaana when the makers…"
2709,RT @Harmindarboxoff: #Brahmastra movie has been given Clean hit by critics keeping in mind the economic inflation and the post pandemic rev…
2710,"@BrahmastraFilm unfiltered talks along with an initial review! Travelled all the way to #London from #Lahore to watch this Gem!
#AyanMukerji #RanbirKapoor #AliaBhatt #KaranJohar #ShahRukhKhan𓀠 #Brahmastra
 https://t.co/5RMPgK57AP"
2711,RT @Harmindarboxoff: I heard from that @kamaalrkhan has used mine and @taran_adarsh name in his latest video today and called the collectio…
2712,RT @oldschoolmonk: He couldn't withstand trolling over Brahmastra 😅 https://t.co/ApXYyOJf4N
2713,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2714,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2715,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2716,"RT @tollymasti: #Brahmastra 28 Days collections ✅
#Ranbirkapoor #AliaBhatt #Nagarjuna #Mouniroy #AmitabhBachchan 
Follow us 👉 @tollymasti h…"
2717,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2718,@DhawalPhalak @J__O___K__E__R @ajaynirwal2 @jammypants4 Srk is third best btw nagarjuna did better than srk in brahmastra
2719,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2720,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
2721,"RT @box_oficeIndian: Highest grossing Bollywood movies year wise

2022 - #Brahmastra   
2021 - #Sooryavanshi
2020 - #Tanhaji
2019 - #War
20…"
2722,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2723,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2724,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
2725,"RT @VijayIsMyLife: #PonniyinSelvan1 emerges as the highest grossing Indian film at the UK box office for the year 2022. 🔥

1. #PS1 - £1.17M…"
2726,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2727,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2728,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
2729,"RT @box_oficeIndian: Highest grossing Bollywood movies year wise

2022 - #Brahmastra   
2021 - #Sooryavanshi
2020 - #Tanhaji
2019 - #War
20…"
2730,"Liked on YouTube: DEVA DEVA - Brahmastra (English Version) - Pritam, Arijit Singh, Amitabh Bhattacharya, Jonita Gandhi https://t.co/rbpOQe6Oa9"
2731,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2732,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2733,"RT @Wise_Blood78: #Brahmastra flopped, that's why #KaranJohar quits Twitter🤔"
2734,"An accurate &amp; appropriately  articulated memes by my love Rudra @imrudrabha @iamrudrabha 😊❤️💥🔥 on why we should ✅Boycott Brahmastra movie ✅ 

 #FlopBrahmastra. 👎

#BoycottBrahmastra

#BoycottBollywood

Images  credit - My Rudra @imrudrabha @iamrudrabha 😊❤️ https://t.co/fLmkyUupqT https://t.co/8XRyKYCM8r"
2735,"RT @box_oficeIndian: Highest grossing Bollywood movies year wise

2022 - #Brahmastra   
2021 - #Sooryavanshi
2020 - #Tanhaji
2019 - #War
20…"
2736,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2737,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2738,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
2739,"@jammypants4 Noppppp
SRK As Scientist In Brahmastra Vanarastra Is The BestOne #brahmastra"
2740,RT @CinemaPoint1: BEST VFX? #VikrantRona and #Brahmastra https://t.co/XIU6xpKPZy
2741,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
2742,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2743,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2744,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2745,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
2746,@KYAHOTUM @sham42347312 @Sheld0nc00per1 @Sukanta67935029 Agar iss chumtiye ko smart phone pata hota kya hai toh book my show mein khud dekh leta. Par chumtiye ko buycutt chillana aata hai bass😔 Brahmastra ki 475 cr is burning his arse all the way through to his throat. Ignore sham ji ka sasta existence😔
2747,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2748,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2749,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2750,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2751,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2752,"RT @BOWorldwide: A Look Test From Brahmastra For All Ranbir Kapoor Fans, Mother Neetu Kapoor Shared On Instagram!
#RanbirKapoor #Brahmastra…"
2753,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2754,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2755,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2756,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2757,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2758,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2759,"This is Ranbir Kapoor's look test for Brahmāstra.

The pictures were shared by his mother Neetu Kapoor.

#Brahmāstra #RanbirKapoor #AliaBhatt #Nagarjuna #MouniRoy #KaranJohar #Dharma #Mythology #Hindu #AyanMukherji #IndianFilmIndustry #Bollywood #NeetuKapoor #auditions #LookTest https://t.co/O24nqAN8ua"
2760,"RT @SRKMIDDLEFINGER: Best Cameo of 2022! 
No debate 🔥

#ShahRukhKhan𓀠 #Brahmastra https://t.co/2lwm5RGeuV"
2761,"RT @tollymasti: #Brahmastra 28 Days collections ✅
#Ranbirkapoor #AliaBhatt #Nagarjuna #Mouniroy #AmitabhBachchan 
Follow us 👉 @tollymasti h…"
2762,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2763,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2764,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2765,"RT @tollymasti: #Brahmastra 28 Days collections ✅
#Ranbirkapoor #AliaBhatt #Nagarjuna #Mouniroy #AmitabhBachchan 
Follow us 👉 @tollymasti h…"
2766,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
2767,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
2768,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2769,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
2770,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2771,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
2772,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2773,"RT @seeuatthemovie: never getting over this #Brahmastra 
https://t.co/zjplXb92V4"
2774,RT @oldschoolmonk: He couldn't withstand trolling over Brahmastra 😅 https://t.co/ApXYyOJf4N
2775,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2776,RT @oldschoolmonk: He couldn't withstand trolling over Brahmastra 😅 https://t.co/ApXYyOJf4N
2777,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2778,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2779,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2780,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
2781,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
2782,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2783,"RT @go4ashi: It has been reported that After the epic flop of #Brahmastra movie, @karanjohar decided to step down as Producer and decided t…"
2784,@Urrmi_ More lethal tha Brahmastra
2785,"RT @KreatelyMedia: 🚨 Facts

🔸In Mar 2021, AK quit Twitter
🔸Today KJo quit Twitter
🔸SAK is not even on Twitter

So after the Blockbuster hit…"
2786,"RT @letscinema: #LetsCinema EXCLUSIVE. Current totals for Indian films at the UK box office 🇬🇧

1. Ponniyin Selvan - £1,118,306
2. Brahmast…"
2787,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2788,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2789,"RT @tollymasti: #Brahmastra 28 Days collections ✅
#Ranbirkapoor #AliaBhatt #Nagarjuna #Mouniroy #AmitabhBachchan 
Follow us 👉 @tollymasti h…"
2790,"@wookieegirl @curiouS_parth one can only imagine the scenario. what if Ayan Mukherji had directed Bang Bang, and Sidharth Anand did Brahmastra"
2791,@RVCJ_FB This is called #Brahmastra effect..no matter how much the producers claims of minting money with #Brahmastra ..deep down everybody knows d truth tht it is a disaster in box office collections..its a matter of time he quits #Twitter .!!Don't underestimate d power of common man💪
2792,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2793,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
2794,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
2795,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2796,"We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/xsgYevxY1H"
2797,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2798,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2799,"RT @tollymasti: #Brahmastra 28 Days collections ✅
#Ranbirkapoor #AliaBhatt #Nagarjuna #Mouniroy #AmitabhBachchan 
Follow us 👉 @tollymasti h…"
2800,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2801,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2802,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
2803,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2804,"#RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a lot of expectation from this film.

RAMSETU TRAILER TOMORROW"
2805,"RT @go4ashi: It has been reported that After the epic flop of #Brahmastra movie, @karanjohar decided to step down as Producer and decided t…"
2806,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
2807,RT @NishitShawHere: #Brahmastra almost SOLD OUT in Thailand 🇹🇭🔥🔥🔥 All credits to #AliaBhatt for her popularity in the country post #Ganguba…
2808,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
2809,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2810,"@Harmindarboxoff Unlike Bahubali and Shamshera, he will have to fight himself in Brahmastra prt 2, in dev vs shiva sequences. That would be a tough one to cover, So I feel a different star for dev is sensible."
2811,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
2812,RT @Harmindarboxoff: I heard from that @kamaalrkhan has used mine and @taran_adarsh name in his latest video today and called the collectio…
2813,"RT @KreatelyMedia: 🚨 Facts

🔸In Mar 2021, AK quit Twitter
🔸Today KJo quit Twitter
🔸SAK is not even on Twitter

So after the Blockbuster hit…"
2814,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2815,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2816,Review of Brahmastra Part 3 when..? https://t.co/1oaDRuQmd3
2817,"#Brahmastra flopped, that's why #KaranJohar quits Twitter🤔"
2818,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2819,"RT @tollymasti: #Brahmastra 28 Days collections ✅
#Ranbirkapoor #AliaBhatt #Nagarjuna #Mouniroy #AmitabhBachchan 
Follow us 👉 @tollymasti h…"
2820,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2821,"@GemsOfBollywood Boss brahmastra cost of making 400plus for all three parts ..tu log zahar uglo, Karan Johar and Disney is laughing all the way to the bank"
2822,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2823,"RT @tollymasti: #Brahmastra 28 Days collections ✅
#Ranbirkapoor #AliaBhatt #Nagarjuna #Mouniroy #AmitabhBachchan 
Follow us 👉 @tollymasti h…"
2824,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2825,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2826,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2827,RT @sekartweets: #PonniyinSelvan surpassed #KGF2 and all other Indian biggies to become #1 film in the UK (Tamil version is the major contr…
2828,"Answer the question below. Enhance, refine, and accelerate your learning with ""UPSC Practice"".

🪔 Get the ""UPSC Practice"" Mobile App https://t.co/vwXULk4IU9
#Logical #Prelims2014

🇮🇳 https://t.co/9vLIhKOi5d #Brahmastra #Queen #Elizabeth #ViratKohli

https://t.co/0e7WgtDEXi https://t.co/vUYdh7La24"
2829,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
2830,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2831,@SumitkadeI   because of your nonstop paid orgasm for #Brahmastra promotion KaranJoker Bhai has left the chat #KaranJohar
2832,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2833,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2834,"RT @letscinema: #LetsCinema EXCLUSIVE. Current totals for Indian films at the UK box office 🇬🇧

1. Ponniyin Selvan - £1,118,306
2. Brahmast…"
2835,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2836,"RT @KreatelyMedia: 🚨 Facts

🔸In Mar 2021, AK quit Twitter
🔸Today KJo quit Twitter
🔸SAK is not even on Twitter

So after the Blockbuster hit…"
2837,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
2838,"RT @SRKMIDDLEFINGER: Best Cameo of 2022! 
No debate 🔥

#ShahRukhKhan𓀠 #Brahmastra https://t.co/2lwm5RGeuV"
2839,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2840,"Highest grossing Bollywood movies year wise

2022 - #Brahmastra      
2021 - #Sooryavanshi
2020 - #Tanhaji
2019 - #War
2018 - #Sanju
2017 - #TigerZindaHai
2016 - #Dangal 
2015 - #BajrangiBhaijaan
2014 - #PK
2013 - #Dhoom3
2012 - #EkThaTiger 
2011 - #Bodyguard"
2841,"RT @UPSCPractice: Answer the question below. Enhance, refine, and accelerate your learning with ""UPSC Practice"".

🪔 Get the ""UPSC Practice""…"
2842,"@calmolive @GemsOfBollywood If he left producing movies then I could believe u but 2nd and 3rd part of #Brahmastra r already on floors.
May be u need Burnol 🧐🧐"
2843,"RT @KreatelyMedia: 🚨 Facts

🔸In Mar 2021, AK quit Twitter
🔸Today KJo quit Twitter
🔸SAK is not even on Twitter

So after the Blockbuster hit…"
2844,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2845,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2846,"RT @tollymasti: #Brahmastra 28 Days collections ✅
#Ranbirkapoor #AliaBhatt #Nagarjuna #Mouniroy #AmitabhBachchan 
Follow us 👉 @tollymasti h…"
2847,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2848,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
2849,@SHEKARSUSHEEL “Aasmaan gir raha hai” story proved to be right for him after the great Brahmastra disaster!
2850,RT @NishitShawHere: #Brahmastra almost SOLD OUT in Thailand 🇹🇭🔥🔥🔥 All credits to #AliaBhatt for her popularity in the country post #Ganguba…
2851,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2852,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2853,"@AndhraBoxOffice Fake WW gross reported by 
@aliaa08 is $48 million= 384 crores, not 400 crores, budget=$51.7 million (410 crores). karan johar will get 150 crores after deductions from gross,  brahmastra is a disaster. For Disney a movie has to gross twice its budget to be hit. https://t.co/S05jUdJhNf"
2854,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
2855,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
2856,"RT @KreatelyMedia: 🚨 Facts

🔸In Mar 2021, AK quit Twitter
🔸Today KJo quit Twitter
🔸SAK is not even on Twitter

So after the Blockbuster hit…"
2857,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
2858,RT @Atlanta4S: An accurate &amp; appropriately  articulated memes by my love Rudra @imrudrabha @iamrudrabha 😊❤️💥🔥 on why we should ✅Boycott Bra…
