,Tweets
89,"#Brahmastra is like a startup :

Expenses : 500cr
Revenue : 300cr 
Losses : 200cr

Valuation : 5000cr

Hence a super-hit. Logic has gone for a six like #RamSetuTrailer"
90,"Like shamshera.. Athuku ena solavanga😂300cr+ budget but BO 70cr WW, brahmastra 400cr budget - 400cr BO. Theatrical wisela gross adikrathu toughest one.. #2point0 done double in BO, 850crs is a massive no., but all expected it will break Bahubali2 record nd will  cross 1000crs nu"
91,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
92,"@deo26 How do you justify the nos. To be fake. 
I mean are you a trade analyst or do u have contacts wid the official production houses of #Brahmastra .
All the Trade ANALYSTS and critics have declrd it to be success and the biggest proof is the announcement of prt 2nd3 officially"
93,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
94,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
95,"RT @go4ashi: It has been reported that After the epic flop of #Brahmastra movie, @karanjohar decided to step down as Producer and decided t…"
96,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
97,"Answer the question below. Enhance, refine, and accelerate your learning with ""UPSC Practice"".

🪔 Get the ""UPSC Practice"" Mobile App https://t.co/4TB0E3mCki Gaa
#Maths #Arithmetic

🇮🇳 https://t.co/9vLIhKOi5d #Brahmastra #Queen #Elizabeth #ViratKohli

https://t.co/0e7WgtDEXi https://t.co/8Jcc3xcmfT"
98,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
99,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
100,"RT @humblekapoor: RANBIR AS DEV AND SHIVA
#brahmastra 
We got dev clue way before release https://t.co/eOyJdKGQC6"
101,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
102,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
103,"RT @SRKMIDDLEFINGER: Best Cameo of 2022! 
No debate 🔥

#ShahRukhKhan𓀠 #Brahmastra https://t.co/2lwm5RGeuV"
104,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
105,"@ErayCr Roz subah uthkar media par teri maa behen ko log gaali denge to tu khush hoga kya??
Bahut asaan hai 49rs ka netpack karke kisiko kuchh bhi bolna. 
Aur #Brahmastra part 2 and 3 are officially on floors which is the biggest proof justifying the movie's success."
